Austin Powers: International Man of Mystery,"'Comedy,Cult'",Jay Roach,"'Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell'",1997,90,
War Dogs,"'Comedy,Drama'",Todd Phillips,"'Jonah Hill, Miles Teller, Ana de Armas, Kevin Pollak, Bradley Cooper, Shaun Toub, Steve Lantz, Gregg Weiner, JB Blanc, Patrick St. Esprit'",2016,114,
Boogie Nights,"'Comedy,Drama,Independent'",Paul Thomas Anderson,"'Mark Wahlberg, Burt Reynolds, Julianne Moore, Heather Graham, William H. Macy, Don Cheadle, Philip Seymour Hoffman, John C. Reilly'",1997,155,
Captain Fantastic,"'Comedy,Drama,Independent'",Matt Ross,"'Viggo Mortensen, Frank Langella, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Ann Dowd, Erin Moriarty, Missi Pyle, Kathryn Hahn, Steve Zahn'",2016,119,
Lady Bird,"'Comedy,Drama,Independent'",Greta Gerwig,"'Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet, Beanie Feldstein, Lois Smith, Stephen Henderson, Odeya Rush, Jordan Rodrigues'",2017,94,
Love Jones,"'Comedy,Drama,Independent'",Theodore Witcher,"'Larenz Tate, Nia Long, Isaiah Washington, Lisa Nicole Carson, Bill Bellamy, Leonard Roberts, Bernadette L. Clarke, Khalil Kain'",1997,109,
Mystic Pizza,"'Comedy,Drama,Independent'",Donald Petrie,"'Annabeth Gish, Julia Roberts, Lili Taylor, Vincent D'Onofrio, William R. Moses, Adam Storke, Conchata Ferrell, Joanna Merlin, Porscha Radcliffe, John Fiore'",1988,104,
Silver Linings Playbook,"'Comedy,Drama,Independent'",David O. Russell,"'Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, Chris Tucker, Anupam Kher, John Ortiz, Shea Whigham, Julia Stiles, Paul Herman'",2012,122,
Sword of Trust,"'Comedy,Drama,Independent'",Lynn Shelton,"'Marc Maron, Jon Bass, Michaela Watkins, Jillian Bell, Toby Huss, Dan Bakkedahl, Lynn Shelton, Whitmer Thomas'",2019,89,
The Death of Stalin,"'Comedy,Drama,Independent'",Armando Iannucci,"'Steve Buscemi, Simon Russell Beale, Paddy Considine, Rupert Friend, Jason Isaacs, Michael Palin, Andrea Riseborough, Jeffrey Tambor, Olga Kurylenko, Paul Chahidi'",2017,107,
The Meddler,"'Comedy,Drama,Independent'",Lorene Scafaria,"'Susan Sarandon, Rose Byrne, J.K. Simmons, Cecily Strong, Jerrod Carmichael, Michael McKean, Jason Ritter, Billy Magnussen, Lucy Punch, Sarah Baker'",2015,104,
Then Came You,"'Comedy,Drama,Independent'",Peter Hutchings,"'Asa Butterfield, Maisie Williams, Nina Dobrev, Ken Jeong, Tyler Hoechlin, David Koechner, Peyton List, Tituss Burgess'",2019,97,
A Man For The Week End,"'Comedy,Drama,International'",Achille Brice,"'Syndy Emade, Alexx Ekubo, Solange Ojong, Nchifor Valery, Miss Li, Becky Takang, Anurin Nwunembom, Nkwah Kingsley, Roger Brice Sobgo, Jeanne Mbenti'",2018,95,
Gold Statue,"'Comedy,Drama,International'",Tade Ogidan,"'Gabriel Afolayan, Kunle Remi, Richard Mofe-Damijo, Sola Sobowale, Kelvin Ikeduba, Kunle Fawole, Norbert Young, Alibaba Akporobome, Segun Arinze, Rycardo Agbor'",2019,145,
Hampstead,"'Comedy,Drama,International'",Joel Hopkins,"'Diane Keaton, Brendan Gleeson, Lesley Manville, Jason Watkins, James Norton, Phil Davis'",2019,103,
Mommy Issues,"'Comedy,Drama,International'",Jose Javier Reyes,"'Pokwang, Sue Ramirez, Jerome Ponce, Ryan Bang, Gloria Diaz'",2021,90,
Flipped,"'Comedy,Drama,Romance'",Rob Reiner,"'Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney, Penelope Ann Miller, Aidan Quinn, Kevin Weisman, Morgan Lily, Ryan Ketzner'",,90,
Home Again,"'Comedy,Drama,Romance'",Hallie Meyers-Shyer,"'Reese Witherspoon, Michael Sheen, Candice Bergen, Nat Wolff, Jon Rudnitsky'",2017,97,
The Mirror Has Two Faces,"'Comedy,Drama,Romance'",Barbra Streisand,"'Barbra Streisand, Jeff Bridges, Lauren Bacall, George Segal, Mimi Rogers, Pierce Brosnan, Brenda Vaccaro, Austin Pendleton, Elle Macpherson, Ali Marsh, Leslie Stefanson, Taina Elg, Lucy Avery Brooke, Amber Smith'",1996,127,
Life as We Know It,"'Comedy,Drama,Romance Movies'",Greg Berlanti,"'Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett, Brynn Clagett, Brooke Clagett, Hayes MacArthur, Christina Hendricks, Sarah Burns, Jessica St. Clair'",2010,115,
The Babysitter,"'Comedy,Horror'",McG,"'Samara Weaving, Hana Mae Lee, Judah Lewis, Robbie Amell, Bella Thorne, Andrew Bachelor, Emily Alyn Lind, Leslie Bibb, Ken Marino'",2017,85,
The Babysitter: Killer Queen,"'Comedy,Horror'",McG,"'Judah Lewis, Jenna Ortega, Emily Alyn Lind, Andrew Bachelor, Robbie Amell, Bella Thorne, Hana Mae Lee, Ken Marino, Leslie Bibb, Chris Wylde, Carl McDowell'",2020,102,
